id;created_at;due_at;amount;status;comments
1;2024-06-19T15:00:39;2024-06-19T11:14:07;10252.3;PENDING;even duh
2;2024-06-19T13:27:08;2024-06-19T03:37:17;15482.62;PAID;laundry above
3;2024-06-18T20:11:58;2024-06-19T08:09:12;28874.83;OVERDUE;subside whopping
4;2024-06-18T19:42:37;2024-06-19T05:09:24;29426.63;PENDING;chiffonier and before
5;2024-06-19T01:55:51;2024-06-19T12:32:48;28235.09;OVERDUE;softly urgently brr
6;2024-06-19T05:18:07;2024-06-19T02:08:09;28615.97;OVERDUE;difference
7;2024-06-19T11:17:22;2024-06-19T00:21:31;6936.21;CANCELLED;dirty
8;2024-06-19T13:55:04;2024-06-19T09:22:52;6183.43;CANCELLED;questionably
9;2024-06-18T18:57:05;2024-06-18T23:29:56;18748.72;CANCELLED;deal across unless
10;2024-06-18T19:20:43;2024-06-19T14:58:24;14136.29;PENDING;interpose prioritize illness
