id;created_at;quantity;unit_price;total_price;status;shipping_at;comments
1;2024-06-12T17:00:40;9753;9166.37;25771.79;PENDING;2024-06-12T19:10:35;beneficiary burly
2;2024-06-12T15:11:08;18059;12756.65;10178.62;PENDING;2024-06-12T09:27:59;solemnly notwithstanding
3;2024-06-11T20:47:47;19324;29586.12;30763.23;PROCESSED;2024-06-12T09:32:13;privatize
4;2024-06-12T12:41:28;22472;8699.44;6550.74;CANCELLED;2024-06-12T07:59:38;nit along under
5;2024-06-12T14:38:01;2269;23083.58;2468.53;PENDING;2024-06-12T08:47:26;amongst
6;2024-06-12T06:20:10;5197;19468.67;23368.02;SHIPPED;2024-06-12T02:57:09;repentant furthermore
7;2024-06-12T15:07:04;31102;26247.59;11114.3;PENDING;2024-06-12T18:52:01;foot phooey among
8;2024-06-12T13:19:03;28729;20289.96;29499.46;DELIVERED;2024-06-12T00:12:48;nor
9;2024-06-12T06:33:19;29541;22676.56;27918.18;PROCESSED;2024-06-12T08:06:57;ah
10;2024-06-12T03:53:23;31499;23894.69;6770.66;PROCESSED;2024-06-12T12:01:25;reason stealthily
