id;name;amount;probability;expected_close_date;stage;description;created_at;modified_at;closed_at
1;knowingly;11737.29;77;2024-06-19;PROSPECTING;../fake-data/blob/hipster.txt;2024-06-19T03:10:34;2024-06-18T20:37:59;2024-06-19T05:54:22
2;better family;26760.83;19;2024-06-19;CLOSED_LOST;../fake-data/blob/hipster.txt;2024-06-18T18:39:19;2024-06-19T17:20:59;2024-06-19T12:04:43
3;absence;6505.64;26;2024-06-19;CLOSED_LOST;../fake-data/blob/hipster.txt;2024-06-19T03:19:34;2024-06-19T01:42:42;2024-06-18T22:06:43
4;excluding onto phooey;24718.82;21;2024-06-19;PROPOSAL;../fake-data/blob/hipster.txt;2024-06-19T15:08:50;2024-06-19T02:46:47;2024-06-18T23:25:28
5;ew;19011.05;13;2024-06-18;CLOSED_WON;../fake-data/blob/hipster.txt;2024-06-19T00:14:59;2024-06-19T07:30:31;2024-06-19T12:18:44
6;vault psst;3110.28;44;2024-06-19;CLOSED_LOST;../fake-data/blob/hipster.txt;2024-06-19T16:11:25;2024-06-18T22:38:16;2024-06-19T06:56:08
7;afore;31409.32;15;2024-06-19;CLOSED_WON;../fake-data/blob/hipster.txt;2024-06-19T09:50:08;2024-06-19T17:05:31;2024-06-19T09:57:26
8;incidentally though joshingly;28216.8;98;2024-06-19;NEGOTIATION;../fake-data/blob/hipster.txt;2024-06-19T05:50:15;2024-06-19T17:20:06;2024-06-19T03:32:49
9;face whenever gadzooks;31622.31;60;2024-06-19;PROPOSAL;../fake-data/blob/hipster.txt;2024-06-19T17:43:13;2024-06-18T23:58:24;2024-06-19T02:31:07
10;puma diligently ugh;979.96;41;2024-06-19;QUALIFICATION;../fake-data/blob/hipster.txt;2024-06-19T04:29:24;2024-06-19T07:07:46;2024-06-19T04:41:23
