id;name;description;price;stock;sku;category;created_at;modified_at
1;yuck crooked;approval afore quarterly;9323.43;21747;while like sole;till generously oh;2024-06-19T08:34:21;2024-06-18T19:47:43
2;post advanced arrogantly;growl marvelous;13597.61;8495;downshift;elated nutritious besides;2024-06-19T06:45:01;2024-06-19T04:25:32
3;drat bust antibody;brightly ouch ew;31317.85;22662;before rev near;whether;2024-06-19T04:02:05;2024-06-19T10:38:54
4;suspiciously bah failing;sky mix excitedly;27584.96;1410;intercut phew;um;2024-06-19T14:48:01;2024-06-19T13:41:10
5;duh;whetherXXX;25083.98;23083;deserted specific;which beatboxer;2024-06-19T02:45:46;2024-06-19T04:56:08
6;as;innocently;32180.47;261;smooth;sty;2024-06-18T19:57:54;2024-06-19T10:06:34
7;numb deny internalize;early if meh;7037.3;7738;aw consequently;out;2024-06-19T01:36:43;2024-06-19T15:46:00
8;concerned sheet;relish invalid blah;11605.78;19556;now lazily;rightfully;2024-06-19T07:44:42;2024-06-19T01:16:04
9;gadzooks hmph;annually um;10587.5;8169;excepting since;sans;2024-06-18T21:48:01;2024-06-19T05:54:18
10;lest;civilianXX;11283.08;28181;subway uh-huh tire;after oh an;2024-06-18T19:31:12;2024-06-19T03:36:16
