id;created_at;quantity;unit_price;total_price;status;expired_at;comments
1;2024-06-18T18:27:47;31334;26118.73;8639.47;REJECTED;2024-06-19T08:19:57;shudder
2;2024-06-18T22:02:05;26933;1749.96;32764.1;ACCEPTED;2024-06-19T10:47:46;exocrine afore aw
3;2024-06-19T03:33:50;15976;1802.02;12002.41;SENT;2024-06-19T01:37:17;tomorrow phew
4;2024-06-19T13:38:43;4962;7799.36;11107.82;SENT;2024-06-19T16:10:08;energise presell wherever
5;2024-06-19T14:00:42;6620;32748.51;20922.61;REJECTED;2024-06-19T11:18:34;consequently between subtitle
6;2024-06-19T06:02:32;8200;9285.57;25041.3;ACCEPTED;2024-06-19T03:20:30;helplessly loftily
7;2024-06-18T21:20:32;5940;30460.88;3229.25;DRAFT;2024-06-19T00:06:34;loftily underneath
8;2024-06-19T11:13:01;2844;1517.78;27617.66;ACCEPTED;2024-06-19T11:58:14;round
9;2024-06-19T01:17:12;22232;3516.77;18728.79;REJECTED;2024-06-19T00:27:30;vanilla soggy
10;2024-06-19T05:07:54;5298;24282.56;13419.41;ACCEPTED;2024-06-19T03:38:59;aha astride
