id;name;due_at;completed;description;priority;assigned_at;completed_at
1;when grok;2024-06-19;true;../fake-data/blob/hipster.txt;between;2024-06-19T15:41:00;2024-06-19T09:17:00
2;upright evil;2024-06-19;false;../fake-data/blob/hipster.txt;crate;2024-06-19T14:17:58;2024-06-19T17:28:33
3;hmph;2024-06-19;true;../fake-data/blob/hipster.txt;as;2024-06-19T07:33:46;2024-06-19T09:18:39
4;true;2024-06-18;false;../fake-data/blob/hipster.txt;naturally;2024-06-18T18:34:13;2024-06-18T21:28:41
5;agreeable cleverly;2024-06-19;false;../fake-data/blob/hipster.txt;recklessly cilantro meh;2024-06-18T20:01:32;2024-06-19T12:47:59
6;made-up;2024-06-19;false;../fake-data/blob/hipster.txt;fancy gown loftily;2024-06-19T07:34:18;2024-06-19T06:19:50
7;pardon;2024-06-18;false;../fake-data/blob/hipster.txt;quicker when;2024-06-19T06:13:44;2024-06-19T14:54:13
8;repulse um below;2024-06-19;false;../fake-data/blob/hipster.txt;nicely;2024-06-19T04:55:15;2024-06-19T15:57:18
9;briefly phew;2024-06-19;false;../fake-data/blob/hipster.txt;as versus alarmed;2024-06-19T01:41:34;2024-06-19T11:16:08
10;torpedo;2024-06-19;true;../fake-data/blob/hipster.txt;innocence innocent um;2024-06-19T07:00:30;2024-06-19T13:16:25
